id,body,label,sentiment
0,I guess $TSLA and $SCTY longs now hope for $AAPL buyout,,0
1,Seems like #iOS 10.3 is saving users storage space with #APFS - $AAPL,,0
2,$TSLA was able to trick the debt market - few buyers actually realized they bought highly subordinated debt w/o covenants w/o assets! Sad!,,-1
3,$GOOGL filed US USPTO #trademark for:1,,0
4,nice run $TSLA,,1
5,So we launched private twitter for Blackbox finally here’s the day 2 results $SUM $ATUS $CRC $AMZN $M $PCG $YNDX $P $CSCO all machine picked,,0
6,Carter & @Michael_Khouw think it might be time to hit the brakes on $TSLA,,0
7,"@CourtReagan C'mon Court, ask $M CEO if he orders stuff on $AMZN!! #IWould",,0
8,Earnings Season is about to get real interesting! $NFLX $BAC $GS $IBM $UAL $AA $MS $COF $EBAY $MSFT $SKX $V $GE,,1
9,$AMZN Amazon Introduces Counter in the U.S. – Where Customers Can Pick Up Their Package and Shop TooFrom our Stock News Alerts App,,0
10,SELLing $SNAP following AOL&YAHOO to extinctionBurnt $1.1bn cash in last 5 quarters on failed projects & enriching its CEO$1.8bn cash left can last 6 quarters maxNo Strategic Value to anyoneBig competition from $FB $GOOG $AMZN $MSFTSubscale;Wrong business model & NO WAY OUT!,,-1
11,$MSFT (-0.2% pre) Gates Makes Largest Donation Since 2000 With $4.6 Billion Pledge - BBG,,0
12,"@morrajuana @markbspiegel  A bigger dummy,@benkallo , will be giving his BS pitch on $TSLA in a few on Fast Money.",,0
13,"Charlie Gasparino is one of the good guys here, folks. He is not here to please the long or short agenda, just report what he hears from credible sources with some color. Don't we want that? $TSLA @CGasparino",,1
14,$AAPL wow! 111.11 open finishes at 103.34 -- 7.77 lower.,,1
15,$TSLA current stock price: $308.85. #Tesla #TeslaStock #bot,,0
16,Doesnt mean he is wrong. Funny you dont clarify this whe you quote a $tsla short no ?,,-1
17,"Inflation is muted. Buy with both fists today. $aapl, $fb, $amzn, $goog",,0
18,"give the kid a break - everyone gets duped at some point in their investing career, better for it to happen early on. $TSLA",,1
19,$XLIT: HUGELY OVERSOLD...RSI=28...50MA=.75..BOUNCING$SIRI $TRTC $AAPL $C $NFLX  $MLCG $BETS $SUNE $MPCIQ $PSUN,,1
20,"Okay, Teslarians: time to sell some $TSLA to cover those $NFLX margin calls.",,1
21,"Competition is heating up for $TSLA... or maybe not:Ford Motor ($F) said to be buying electric scooter startup Spin, according to Axios",,0
22,$aapl they are buying the $150 and selling the $170,,0
23,$AAPL on the move early.,,1
24,$TSLA Everything is being dumped except this one. Go figure.,,0
25,Another win for $AAPL?,,1
26,"$TSLA is currently producing cars at the following weekly rates: Model 3 (~2k/week), Model X (~750/week), Model S (~200/week).",,0
27,$AMZN has expanded into healthcare. Medicine and dentistry. Competition for $HSIC Henry Schein.,,0
28,@hmeisler and $AMZN trading at all time high.,,1
29,$AAPL gap and go above the 50 160 is options build should do a touch or push by on level $NVDA gap and fade pattern we see all the time same,,0
30,"Thank you! Appreciate the replies! One more quickie if you have a(nother) minute. Sounds like the new ""independent"" directors and the new Chairman are *appointed* by the current board, including the current chairman (for 45 days) Musk? Fair or not, is this accurate? tia, $TSLA",,1
31,"$TSLA We don't know the accuracy of @Jalopnik story. But, @elonmusk & @tesla have a culture of suppressing negative news. In the coming weeks, I suspect that we are going to see news that some of the board members were shell shocked by what they find out about Tesla.",,-1
32,"@TeslaAgnostic @jotiavionica @Fanaticinvestor The difference is ""electricity."" e-BMWs & Audis will skew much younger & teal lots from $TSLA",,0
33,most active stock options Tuesday - $AAPL $AMD $NVDA $FB $TSLA $BAC $AMZN $MSFT $BA $MU $NFLX $ACB $COTY $F $CHK $PBR $EA $DIS $DWDP $TLRY $SQ $BHC $GS $GE $QCOM $FCX $NIO $T $CSCO $LBTYA $CGC $NKE $FCAU $TWTR $C $JPM $BABA $STNE $MS $X $FDX $SNAP $EBAY $BMY,,1
34,"Is this you @elonmusk ?""young man to rise socially beyond his modest upbringing through a combination of talent, hard work, deception, and hypocrisy""""low-born man of superior intellect and æsthetic sensibility who possesses neither money nor social connections""$TSLA $TSLAQ",,1
35,Now every time @apple does an update iOS crashes. Shame on you @tim_cook @AppleSupport $aapl No proper testing done prior to release.,,0
36,"I look forward to the 800 point swings on the DOW returning. Oh, the good ole days! $Tesla $Aapl $Cat $Hmny $Awx",,1
37,"BTW, do you remember the name of the person who urged you to my $MSFT several times in the past few months?",,-1
38,"Hey @Tesla, had an accident in my new Model S and have been waiting for parts from you for since November. The shop cannot begin work. This is absurd and very frustrating. What can you do to help? @elonmusk",,-1
39,"Here's a thought, can i get an $AAPL iPhone with a $FLIR One Pro and a $SQ $V reader?  DANG, should've patented that before tweeting LOLZ!",,0
40,$GOOGL 'Cloud killin' it': Wall Street is raving about Alphabet's monster quarter. Here's what top analysts are saying.,,1
41,Just 4 stocks added $77 or 654 points to the Dow--more than half of the index's 1150-point rally: $AAPL $BA $IBM $HD @philstockworld,,-1
42,$spx lets see what happens today... both $amzn and $google are not bad earnings itself if u look at it carefuly. either way not a time to be a hero today.. wait and see. watching $c $blk and if aapl ever falls below 200... its a buy to me.,,1
43,Aug27: BEARISH $AAPL at 215.05  Stop: 215.83  Target: 213.91  Reward-Ratio: 1.46   This-Week: Neutral  This-Month: Bearish,,0
44,@CatalystTrading covered my $TSLA $153,,0
45,$TSLA most interesting 10 weeks of the year  GF Announcement   Partnerships  Model3 (Mass)  Autonomous $410-$500,,1
46,"Morgan Stanley must really want to build a position $TSLA, is all I can ever figure about some of that crap we see.  I bet short interest in Tesla is reduced further by the time of the next report",,-1
47,@ShitFund @SAI just don't bet against  $amzn is the lesson learned again and again...,,0
48,"@Juan_MillyDolla yeah, but people were pumping $AMZN and were thinking it was gonna do the same as FB. Haven't even looked at the numbers",,0
49,Interesting stats. Median salary by company: $FB - $240k$NFLX - $183k$GS - $135k$XOM - $162k$WMT - $19k$AAPL - $55k$PFE - $89k$FDx - $50k$C - $48k,,1
50,"$TSLA $FCX $NFLX $AMZN $WFT $LNKD yesterday, newbies, is what a bear market rally looks like.",,0
51,"14:55 ET Volume Leader #21 - AAPL 19,144,065 Apple Inc $AAPL 112.96 -0.99 -0.87% High today of 115.00 day low",,1
52,"""Families that bag together, stay together"" -Book of @BagholderQuotes chapter 3, verse 14$TSLA",,0
53,"I love you all! And I'll love you all even more when $TSLA morphs into $TSLAQ and my far OTM puts ""explode"".",,1
54,"Premarket Top % Gainers: $AMDA 63%, $AMZN 18.4%, $JNPR 9.8%, $IG 7.7%, $FXCM 5.8%, $V 4.6%, $DUST 4.4%, $SBUX 4%, $ALU $JD $VOD $SWKS $DGAZ",,1
55,"$AMZN has made another move to step up its grocery game, placing further pressure on Kroger and others.",,-1
56,$TSLA - the Demon Capital Barber of Palo Alto/Wall Street.,,0
57,$TSLA the short bet is being challenged Friday n it could be 3rd successful trade so far but let us see,,1
58,$AMZN 1694 reached. look out below.,,0
59,How are they managing to keep $TSLA anchored to 225 ..like for 3 days straight .nice Profits to MMs,,1
60,"Same can be said for its Disclosure Controls committee, which I do not believe existed previously (perhaps its a way of addressing the SEC settlement?)$tsla $tslaq",,-1
